Sample in Buffer,Sample in Window,TRIGGER,u_FFT_Top/current_state[2:0],u_FFT_Top/next_state[2:0],u_FFT_Top/row_count[3:0],u_FFT_Top/col_count[7:0],u_FFT_Top/data_count[7:0],u_FFT_Top/ram_we,u_FFT_Top/s_axis_data_tvalid,u_FFT_Top/s_axis_data_tready,u_FFT_Top/fft_256_valid_out,u_FFT_Top/fft_256_ready_out,u_FFT_Top/fft_16_valid_out_1,u_FFT_Top/fft_16_ready_in
431,431,0,2,2,0,00,05,0,1,0,1,1,0,1
432,432,0,2,2,0,00,06,0,1,0,1,1,0,1
433,433,0,2,2,0,00,07,0,1,0,1,1,0,1
434,434,0,2,2,0,00,08,0,1,0,1,1,0,1
435,435,0,2,2,0,00,09,0,1,0,1,1,0,1
436,436,0,2,2,0,00,0a,0,1,0,1,1,0,1
437,437,0,2,2,0,00,0b,0,1,0,1,1,0,1
438,438,0,2,2,0,00,0c,0,1,0,1,1,0,1
439,439,0,2,2,0,00,0d,0,1,0,1,1,0,1
440,440,0,2,2,0,00,0e,0,1,0,1,1,0,1
441,441,0,2,2,0,00,0f,0,1,0,1,1,0,1
442,442,0,2,2,0,01,00,0,1,0,1,1,0,1
443,443,0,2,2,0,01,01,0,1,0,1,1,0,1
444,444,0,2,2,0,01,02,0,1,0,1,1,0,1
445,445,0,2,2,0,01,03,0,1,0,1,1,0,1
446,446,0,2,2,0,01,04,0,1,0,1,1,0,1
447,447,0,2,2,0,01,05,0,1,0,1,1,0,1
448,448,0,2,2,0,01,06,0,1,0,1,1,0,1
449,449,0,2,2,0,01,07,0,1,0,1,1,0,1
450,450,0,2,2,0,01,08,0,1,0,1,1,0,1
451,451,0,2,2,0,01,09,0,1,0,1,1,0,1
452,452,0,2,2,0,01,0a,0,1,0,1,1,0,1
453,453,0,2,2,0,01,0b,0,1,0,1,1,0,1
454,454,0,2,2,0,01,0c,0,1,0,1,1,0,1
455,455,0,2,2,0,01,0d,0,1,0,1,1,0,1
456,456,0,2,2,0,01,0e,0,1,0,0,1,0,1
457,457,0,2,2,0,01,0f,0,1,0,0,1,0,1
458,458,0,2,2,0,02,00,0,1,0,0,1,0,1
459,459,0,2,2,0,02,01,0,1,0,0,1,0,1
460,460,0,2,2,0,02,02,0,1,0,0,1,0,1
461,461,0,2,2,0,02,03,0,1,0,0,1,0,1
462,462,0,2,2,0,02,04,0,1,0,0,1,0,1
463,463,0,2,2,0,02,05,0,1,0,0,1,0,1
464,464,0,2,2,0,02,06,0,1,0,0,1,0,1
465,465,0,2,2,0,02,07,0,1,0,0,1,0,1
466,466,0,2,2,0,02,08,0,1,0,0,1,0,1
467,467,0,2,2,0,02,09,0,1,0,0,1,0,1
