Sample in Buffer,Sample in Window,TRIGGER,top_i/system_ila_0/inst/net_slot_0_axis_tdata[31:0],top_i/system_ila_0/inst/net_slot_0_axis_tvalid,top_i/system_ila_0/inst/net_slot_0_axis_tready,top_i/system_ila_0/inst/net_slot_0_axis_tlast,top_i/system_ila_0/inst/net_slot_1_axis_tdata[31:0],top_i/system_ila_0/inst/net_slot_1_axis_tvalid,top_i/system_ila_0/inst/net_slot_1_axis_tready,top_i/system_ila_0/inst/net_slot_1_axis_tlast,top_i/system_ila_0/inst/net_slot_2_axis_tdata[31:0],top_i/system_ila_0/inst/net_slot_2_axis_tkeep[3:0],top_i/system_ila_0/inst/net_slot_2_axis_tvalid,top_i/system_ila_0/inst/net_slot_2_axis_tready,top_i/system_ila_0/inst/net_slot_2_axis_tlast,top_i/system_ila_0/inst/net_slot_3_axis_tdata[31:0],top_i/system_ila_0/inst/net_slot_3_axis_tkeep[3:0],top_i/system_ila_0/inst/net_slot_3_axis_tvalid,top_i/system_ila_0/inst/net_slot_3_axis_tready,top_i/system_ila_0/inst/net_slot_3_axis_tlast,Interface_(i1:s0)_(axis_data_fifo_1_M_AXIS)[2:0],Interface_(i1:s1)_(axis_data_fifo_0_M_AXIS)[2:0],Interface_(i1:s2)_(S_AXIS_0_1)[2:0],Interface_(i1:s3)_(axi_dma_0_M_AXIS_MM2S)[2:0],T_Channel_(i1:s0)_(axis_data_fifo_1_M_AXIS)[2:0],T_Channel_(i1:s1)_(axis_data_fifo_0_M_AXIS)[2:0],T_Channel_(i1:s2)_(S_AXIS_0_1)[2:0],T_Channel_(i1:s3)_(axi_dma_0_M_AXIS_MM2S)[2:0]
6321,6321,0,1307f651,0,1,0,fde4fe30,0,0,1,eca5ed7d,f,0,1,0,00000000,0,0,1,0,"_","Inactive","_","Inactive","_","No Streams","_","No Streams"
6322,6322,0,1307f651,0,1,0,fde4fe30,0,0,1,eca5ed7d,f,0,1,0,00000000,0,0,1,0,"_","Inactive","_","Inactive","_","No Streams","_","No Streams"
6323,6323,0,776cba86,1,1,0,fde4fe30,0,0,1,eca5ed7d,f,0,1,0,00000000,0,0,1,0,"Active","Inactive","_","Inactive","Stream Beat","No Streams","_","No Streams"
6324,6324,0,776cba86,0,1,0,fde4fe30,0,0,1,f2caf391,f,1,1,0,00000000,0,0,1,0,"_","Inactive","Active","Inactive","_","No Streams","Stream Beat","No Streams"
6325,6325,0,776cba86,0,1,0,fde4fe30,0,0,1,02e4041c,f,1,1,0,00000000,0,0,1,0,"_","Inactive","Active","Inactive","_","No Streams","Stream Beat","No Streams"
6326,6326,0,776cba86,0,1,0,fde4fe30,0,0,1,05d608c6,f,0,1,0,00000000,0,0,1,0,"_","Inactive","_","Inactive","_","No Streams","_","No Streams"
6327,6327,0,f2caf391,1,1,0,fde4fe30,0,0,1,05d608c6,f,0,1,0,00000000,0,0,1,0,"Active","Inactive","_","Inactive","Stream Beat","No Streams","_","No Streams"
6328,6328,0,02e4041c,1,1,0,fde4fe30,0,0,1,05d608c6,f,0,1,0,00000000,0,0,1,0,"Active","Inactive","_","Inactive","Stream Beat","No Streams","_","No Streams"
6329,6329,0,02e4041c,0,1,0,fde4fe30,0,0,1,f614012b,f,1,1,0,00000000,0,0,1,0,"_","Inactive","Active","Inactive","_","No Streams","Stream Beat","No Streams"
6330,6330,0,02e4041c,0,1,0,fde4fe30,0,0,1,f959fa4d,f,1,1,0,00000000,0,0,1,0,"_","Inactive","Active","Inactive","_","No Streams","Stream Beat","No Streams"
6331,6331,0,02e4041c,0,1,0,fde4fe30,0,0,1,f8cd028f,f,0,1,0,00000000,0,0,1,0,"_","Inactive","_","Inactive","_","No Streams","_","No Streams"
6332,6332,0,f614012b,1,1,0,fde4fe30,0,0,1,f8cd028f,f,0,1,0,00000000,0,0,1,0,"Active","Inactive","_","Inactive","Stream Beat","No Streams","_","No Streams"
6333,6333,0,f959fa4d,1,1,0,fde4fe30,0,0,1,f8cd028f,f,0,1,0,00000000,0,0,1,0,"Active","Inactive","_","Inactive","Stream Beat","No Streams","_","No Streams"
6334,6334,0,f959fa4d,0,1,0,fde4fe30,0,0,1,f771fb7e,f,1,1,0,00000000,0,0,1,0,"_","Inactive","Active","Inactive","_","No Streams","Stream Beat","No Streams"
6335,6335,0,f959fa4d,0,1,0,fde4fe30,0,0,1,00630677,f,1,1,0,00000000,0,0,1,0,"_","Inactive","Active","Inactive","_","No Streams","Stream Beat","No Streams"
6336,6336,0,f959fa4d,0,1,0,fde4fe30,0,0,1,fc8c03f1,f,1,1,0,00000000,0,0,1,0,"_","Inactive","Active","Inactive","_","No Streams","Stream Beat","No Streams"
6337,6337,0,f771fb7e,1,1,0,fde4fe30,0,0,1,00000000,f,1,1,0,00000000,0,0,1,0,"Active","Inactive","Active","Inactive","Stream Beat","No Streams","Stream Beat","No Streams"
6338,6338,0,00630677,1,1,0,fde4fe30,0,0,1,027afd5f,f,1,1,0,00000000,0,0,1,0,"Active","Inactive","Active","Inactive","Stream Beat","No Streams","Stream Beat","No Streams"
6339,6339,0,fc8c03f1,1,1,0,fde4fe30,0,0,1,fe4c0132,f,1,1,0,00000000,0,0,1,0,"Active","Inactive","Active","Inactive","Stream Beat","No Streams","Stream Beat","No Streams"
6340,6340,0,00000000,1,1,0,fde4fe30,0,0,1,ff38f95f,f,1,1,0,00000000,0,0,1,0,"Active","Inactive","Active","Inactive","Stream Beat","No Streams","Stream Beat","No Streams"
6341,6341,0,027afd5f,1,1,0,fde4fe30,0,0,1,0e34f27c,f,0,1,0,00000000,0,0,1,0,"Active","Inactive","_","Inactive","Stream Beat","No Streams","_","No Streams"
6342,6342,0,fe4c0132,1,1,0,fde4fe30,0,0,1,0e34f27c,f,0,1,0,00000000,0,0,1,0,"Active","Inactive","_","Inactive","Stream Beat","No Streams","_","No Streams"
6343,6343,0,ff38f95f,1,1,0,fde4fe30,0,0,1,0e34f27c,f,0,1,0,00000000,0,0,1,0,"Active","Inactive","_","Inactive","Stream Beat","No Streams","_","No Streams"
6344,6344,0,ff38f95f,0,1,0,fde4fe30,0,0,1,05b3f959,f,1,1,0,00000000,0,0,1,0,"_","Inactive","Active","Inactive","_","No Streams","Stream Beat","No Streams"
6345,6345,0,ff38f95f,0,1,0,fde4fe30,0,0,1,06bff332,f,1,1,0,00000000,0,0,1,0,"_","Inactive","Active","Inactive","_","No Streams","Stream Beat","No Streams"
6346,6346,0,ff38f95f,0,1,0,fde4fe30,0,0,1,0c9c0469,f,0,1,0,00000000,0,0,1,0,"_","Inactive","_","Inactive","_","No Streams","_","No Streams"
6347,6347,0,05b3f959,1,1,0,fde4fe30,0,0,1,0c9c0469,f,0,1,0,00000000,0,0,1,0,"Active","Inactive","_","Inactive","Stream Beat","No Streams","_","No Streams"
6348,6348,0,06bff332,1,1,0,fde4fe30,0,0,1,0c9c0469,f,0,1,0,00000000,0,0,1,0,"Active","Inactive","_","Inactive","Stream Beat","No Streams","_","No Streams"
6349,6349,0,06bff332,0,1,0,fde4fe30,0,0,1,f06500ef,f,1,1,0,00000000,0,0,1,0,"_","Inactive","Active","Inactive","_","No Streams","Stream Beat","No Streams"
6350,6350,0,06bff332,0,1,0,fde4fe30,0,0,1,ec34eea5,f,1,1,0,00000000,0,0,1,0,"_","Inactive","Active","Inactive","_","No Streams","Stream Beat","No Streams"
6351,6351,0,06bff332,0,1,0,fde4fe30,0,0,1,776cba86,f,0,1,0,00000000,0,0,1,0,"_","Inactive","_","Inactive","_","No Streams","_","No Streams"
6352,6352,0,f06500ef,1,1,0,fde4fe30,0,0,1,776cba86,f,0,1,0,00000000,0,0,1,0,"Active","Inactive","_","Inactive","Stream Beat","No Streams","_","No Streams"
6353,6353,0,ec34eea5,1,1,0,fde4fe30,0,0,1,776cba86,f,0,1,0,00000000,0,0,1,0,"Active","Inactive","_","Inactive","Stream Beat","No Streams","_","No Streams"
6354,6354,0,ec34eea5,0,1,0,fde4fe30,0,0,1,776cba86,f,0,1,0,00000000,0,0,1,0,"_","Inactive","_","Inactive","_","No Streams","_","No Streams"
6355,6355,0,ec34eea5,0,1,0,fde4fe30,0,0,1,776cba86,f,0,1,0,00000000,0,0,1,0,"_","Inactive","_","Inactive","_","No Streams","_","No Streams"
6356,6356,0,ec34eea5,0,1,0,fde4fe30,0,0,1,776cba86,f,0,1,0,00000000,0,0,1,0,"_","Inactive","_","Inactive","_","No Streams","_","No Streams"
6357,6357,0,ec34eea5,0,1,0,fde4fe30,0,0,1,776cba86,f,0,1,0,00000000,0,0,1,0,"_","Inactive","_","Inactive","_","No Streams","_","No Streams"
6358,6358,0,ec34eea5,0,1,0,fde4fe30,0,0,1,776cba86,f,0,1,0,00000000,0,0,1,0,"_","Inactive","_","Inactive","_","No Streams","_","No Streams"
6359,6359,0,ec34eea5,0,1,0,fde4fe30,0,0,1,776cba86,f,0,1,0,00000000,0,0,1,0,"_","Inactive","_","Inactive","_","No Streams","_","No Streams"
6360,6360,0,ec34eea5,0,1,0,fde4fe30,0,0,1,0274f792,f,1,1,0,00000000,0,0,1,0,"_","Inactive","Active","Inactive","_","No Streams","Stream Beat","No Streams"
6361,6361,0,ec34eea5,0,1,0,fde4fe30,0,0,1,f2caf391,f,0,1,0,00000000,0,0,1,0,"_","Inactive","_","Inactive","_","No Streams","_","No Streams"
6362,6362,0,ec34eea5,0,1,0,fde4fe30,0,0,1,f2caf391,f,0,1,0,00000000,0,0,1,0,"_","Inactive","_","Inactive","_","No Streams","_","No Streams"
6363,6363,0,0274f792,1,1,0,fde4fe30,0,0,1,f2caf391,f,0,1,0,00000000,0,0,1,0,"Active","Inactive","_","Inactive","Stream Beat","No Streams","_","No Streams"
6364,6364,0,0274f792,0,1,0,fde4fe30,0,0,1,1720f95b,f,1,1,0,00000000,0,0,1,0,"_","Inactive","Active","Inactive","_","No Streams","Stream Beat","No Streams"
6365,6365,0,0274f792,0,1,0,fde4fe30,0,0,1,043c05ed,f,1,1,0,00000000,0,0,1,0,"_","Inactive","Active","Inactive","_","No Streams","Stream Beat","No Streams"
6366,6366,0,0274f792,0,1,0,fde4fe30,0,0,1,f614012b,f,0,1,0,00000000,0,0,1,0,"_","Inactive","_","Inactive","_","No Streams","_","No Streams"
6367,6367,0,1720f95b,1,1,0,fde4fe30,0,0,1,f614012b,f,0,1,0,00000000,0,0,1,0,"Active","Inactive","_","Inactive","Stream Beat","No Streams","_","No Streams"
6368,6368,0,043c05ed,1,1,0,fde4fe30,0,0,1,f614012b,f,0,1,0,00000000,0,0,1,0,"Active","Inactive","_","Inactive","Stream Beat","No Streams","_","No Streams"
6369,6369,0,043c05ed,0,1,0,fde4fe30,0,0,1,facaff20,f,1,1,0,00000000,0,0,1,0,"_","Inactive","Active","Inactive","_","No Streams","Stream Beat","No Streams"
6370,6370,0,043c05ed,0,1,0,fde4fe30,0,0,1,ffebf80f,f,1,1,0,00000000,0,0,1,0,"_","Inactive","Active","Inactive","_","No Streams","Stream Beat","No Streams"
6371,6371,0,043c05ed,0,1,0,fde4fe30,0,0,1,f771fb7e,f,0,1,0,00000000,0,0,1,0,"_","Inactive","_","Inactive","_","No Streams","_","No Streams"
6372,6372,0,facaff20,1,1,0,fde4fe30,0,0,1,f771fb7e,f,0,1,0,00000000,0,0,1,0,"Active","Inactive","_","Inactive","Stream Beat","No Streams","_","No Streams"
6373,6373,0,ffebf80f,1,1,0,fde4fe30,0,0,1,f771fb7e,f,0,1,0,00000000,0,0,1,0,"Active","Inactive","_","Inactive","Stream Beat","No Streams","_","No Streams"
6374,6374,0,ffebf80f,0,1,0,fde4fe30,0,0,1,01a002a9,f,1,1,0,00000000,0,0,1,0,"_","Inactive","Active","Inactive","_","No Streams","Stream Beat","No Streams"
6375,6375,0,ffebf80f,0,1,0,fde4fe30,0,0,1,fa920181,f,1,1,0,00000000,0,0,1,0,"_","Inactive","Active","Inactive","_","No Streams","Stream Beat","No Streams"
6376,6376,0,ffebf80f,0,1,0,fde4fe30,0,0,1,02aa01ac,f,1,1,0,00000000,0,0,1,0,"_","Inactive","Active","Inactive","_","No Streams","Stream Beat","No Streams"
